ds,trend,weekly,yearly,category
2024-05-24,57.724,-3.522082368303528,-3.1683689800579886,가구/인테리어
2024-05-25,57.68798602739725,-4.202104476248478,-3.275236805749466,가구/인테리어
2024-05-26,57.65197205479452,2.8770033588012978,-3.4437704303206758,가구/인테리어
2024-05-27,57.615958082191774,3.7976729473038597,-3.675238864763332,가구/인테리어
2024-05-28,57.57994410958904,1.4873493486883544,-3.9693993062759265,가구/인테리어
2024-05-29,57.5439301369863,0.3114471897503877,-4.324448188105525,가구/인테리어
2024-05-30,57.50791616438355,-0.7492859999957011,-4.73700890054502,가구/인테리어
2024-05-31,57.47190219178082,-3.5220823683077587,-5.202157336629851,가구/인테리어
2024-06-01,57.435888219178075,-4.202104476244747,-5.7134854902219265,가구/인테리어
2024-06-02,57.399874246575344,2.8770033588050192,-6.263202387789447,가구/인테리어
2024-06-03,57.3638602739726,3.797672947300349,-6.842270692241768,가구/인테리어
2024-06-04,57.32784630136985,1.4873493486812717,-7.440576402152237,가구/인테리어
2024-06-05,57.29183232876712,0.3114471897560808,-8.047128206365683,가구/인테리어
2024-06-06,57.25581836228808,-0.7492859999984891,-8.650282265054992,가구/인테리어
2024-06-07,57.219804395809035,-3.522082368297156,-9.23798749490851,가구/인테리어
2024-06-08,57.183790429329996,-4.202104476241017,-9.798045856888804,가구/인테리어
2024-06-09,57.14777646285095,2.8770033588099633,-10.318381696082724,가구/인테리어
2024-06-10,57.11176249637191,3.7976729472998088,-10.787313877048158,가구/인테리어
2024-06-11,57.07574852989288,1.4873493486824436,-11.193824304116914,가구/인테리어
2024-06-12,57.03973456341384,0.3114471897561593,-11.527816419543724,가구/인테리어
2024-06-13,57.00372059693479,-0.7492860000012777,-11.780357434510597,가구/인테리어
2024-06-14,56.96770663045575,-3.5220823683013864,-11.943898366010176,가구/인테리어
2024-06-15,56.931692663976705,-4.202104476238815,-12.01246641990153,가구/인테리어
2024-06-16,56.895678697497665,2.8770033588124604,-11.981824866055698,가구/인테리어
2024-06-17,56.859664729499585,3.7976729472992687,-11.849596281600054,가구/인테리어
